env,experiment,mean,n,ci_half_width,baseline_experiment,prob_lt_prior0,highlight,display_unicode,display_tex
walker_run,a4_prior0.01,0.7505642550458587,32,0.0029811871622963003,a4_prior0,0.6887,false,0.751±0.003,$0.751\pm0.003$
walker_run,a4_prior0.1,0.7553698323221896,32,0.0017379323133777885,a4_prior0,0.0735,false,0.755±0.002,$0.755\pm0.002$
walker_run,a4_prior1.0,0.8755561953488586,32,0.004443337158244664,a4_prior0,0.0,false,0.876±0.004,$0.876\pm0.004$
walker_stand,a4_prior0,0.10649601713078793,32,0.004521865950687468,a4_prior0,,false,0.106±0.005,$0.106\pm0.005$
walker_stand,a4_prior0.001,0.10228526570610326,32,0.0031780996463849644,a4_prior0,0.8094,false,0.102±0.003,$0.102\pm0.003$
walker_stand,a4_prior0.01,0.10467779288162486,32,0.004204018601631774,a4_prior0,0.6269,false,0.105±0.004,$0.105\pm0.004$
walker_stand,a4_prior0.1,0.10457402545860922,32,0.0038882467215117845,a4_prior0,0.7207,false,0.105±0.004,$0.105\pm0.004$
walker_stand,a4_prior1.0,0.11749573236086754,32,0.003830362579222761,a4_prior0,0.0068,false,0.117±0.004,$0.117\pm0.004$
walker_walk,a4_prior0,0.40000034807067403,32,0.010081235372081906,a4_prior0,,false,0.400±0.010,$0.400\pm0.010$
walker_walk,a4_prior0.001,0.4113895887118021,32,0.012646648530849474,a4_prior0,0.5212,false,0.411±0.013,$0.411\pm0.013$
walker_walk,a4_prior0.01,0.40736103410416785,32,0.011992547871964954,a4_prior0,0.3921,false,0.407±0.012,$0.407\pm0.012$
walker_walk,a4_prior0.1,0.40756524301322195,32,0.010218945064000791,a4_prior0,0.2009,false,0.408±0.010,$0.408\pm0.010$
walker_walk,a4_prior1.0,0.4126677647438465,32,0.006991201152488735,a4_prior0,0.0354,false,0.413±0.007,$0.413\pm0.007$
Average,a4_prior0,0.36108973617303325,,0.002188883771054774,a4_prior0,,false,0.361±0.002,$0.361\pm0.002$
Average,a4_prior0.001,0.3625287567138199,,0.002667816002295452,a4_prior0,0.3799,false,0.363±0.003,$0.363\pm0.003$
Average,a4_prior0.01,0.3606247570048284,,0.00231257827053213,a4_prior0,0.6861,false,0.361±0.002,$0.361\pm0.002$
Average,a4_prior0.1,0.3572380102310106,,0.002037492298737596,a4_prior0,0.869,false,0.357±0.002,$0.357\pm0.002$
Average,a4_prior1.0,0.401483277233287,,0.004028125389300825,a4_prior0,0.0,false,0.401±0.004,$0.401\pm0.004$
